Date,Capital,Amount Earned
2018-05-08,1522.4201833226489,864.9901833226489
2018-05-09,1522.795003171783,865.3650031717831
2018-05-10,1523.169915301564,865.7399153015641
2018-05-11,1523.5449197347114,866.1149197347114
2018-05-14,1523.9200164939502,866.4900164939503
2018-05-15,1524.295205602011,866.8652056020111
2018-05-16,1524.6704870816302,867.2404870816302
2018-05-17,1525.0458609555499,867.6158609555499
2018-05-18,1525.4213272465174,867.9913272465175
2018-05-21,1525.7968859772857,868.3668859772857
2018-05-22,1526.1725371706134,868.7425371706134
2018-05-23,1526.5482808492648,869.1182808492648
2018-05-24,1526.92411703601,869.4941170360102
2018-05-25,1527.3000457536245,869.8700457536246
2018-05-28,1527.6760670248893,870.2460670248894
2018-05-29,1528.052180872591,870.622180872591
2018-05-30,1528.428387319522,870.9983873195221
2018-06-01,1528.8046863884801,871.3746863884802
2018-06-04,1529.181078102269,871.7510781022692
2018-06-05,1529.557562483698,872.127562483698
2018-06-06,1529.9341395555816,872.5041395555817
2018-06-07,1530.3108093407402,872.8808093407403
2018-06-08,1530.687571862,873.257571862
2018-06-11,1531.0644271421927,873.6344271421927
2018-06-12,1531.4413752041553,874.0113752041553
2018-06-13,1531.8184160707306,874.3884160707306
2018-06-14,1532.1955497647673,874.7655497647673
2018-06-15,1532.5727763091195,875.1427763091195
2018-06-18,1532.9500957266469,875.5200957266469
2018-06-19,1533.327508040215,875.897508040215
2018-06-20,1533.7050132726947,876.2750132726948
2018-06-21,1534.0826114469626,876.6526114469626
2018-06-22,1534.4603025859008,877.0303025859008
2018-06-25,1534.8380867123976,877.4080867123977
2018-06-26,1535.2159638493463,877.7859638493463
2018-06-27,1535.5939340196462,878.1639340196463
2018-06-28,1535.9719972462021,878.5419972462022
2018-06-29,1536.3501535519242,878.9201535519243
2018-07-02,1536.7284029597288,879.2984029597288
2018-07-03,1537.1067454925376,879.6767454925376
2018-07-04,1537.485181173278,880.0551811732781
2018-07-05,1537.863710024883,880.433710024883
2018-07-06,1538.2423320702912,880.8123320702913
2018-07-09,1538.6210473324468,881.1910473324468
2018-07-10,1538.9998558343004,881.5698558343005
2018-07-11,1539.3787575988067,881.9487575988068
